"","x"
"1",0.0165007706789682
"2",0.0162850826543128
"3",0.0160759232195759
"4",0.0158744554820566
"5",0.0156819539024474
"6",0.0154953962167608
"7",0.0153138019349521
"8",0.0151438137499855
"9",0.0149807777803878
"10",0.0148262806222921
"11",0.0146872529092534
"12",0.0145648488076468
"13",0.0144599863363759
"14",0.0143732987037739
"15",0.0142982799703294
"16",0.0142219042450907
"17",0.0141618070020968
"18",0.0141176501105979
"19",0.0140889661839109
"20",0.0140752052072363
"21",0.0140743723336071
"22",0.0140858236710148
"23",0.0141104177762382
"24",0.0141484665486323
"25",0.0141985370258379
"26",0.0142574355154132
"27",0.0143166503540695
"28",0.0143870042535348
"29",0.0144678020487242
"30",0.0145582621267453
"31",0.014624788001822
"32",0.0146974156096462
"33",0.0147803355817508
"34",0.0148697913338405
"35",0.0149638973163733
"36",0.0150667429453088
"37",0.0151771339272336
"38",0.0152874213316109
"39",0.0153894157198334
"40",0.0154961663897862
"41",0.0156080239689282
"42",0.0157242725520174
"43",0.0158442578158628
"44",0.0159673882830962
"45",0.0160570588533521
"46",0.0161482427274323
"47",0.0162437090382746
"48",0.0163433827412866
"49",0.0164471873433802
"50",0.0165550451391806
"51",0.0166668774395317
"52",0.0167826047912844
"53",0.0169021471875176
"54",0.0170254242675058
"55",0.0171523555058961
"56",0.0172828603907084
"57",0.0174168585899063
"58",0.017554270106412
"59",0.0176950154215516
"60",0.017839015627019
"61",0.0162764055727557
"62",0.0160523032951103
"63",0.0158344594008637
"64",0.0156241285466585
"65",0.0154188729810767
"66",0.0152159969408877
"67",0.0150215276894849
"68",0.0148362201081297
"69",0.014657868468927
"70",0.0144944036931607
"71",0.0143474070281643
"72",0.0142182671947885
"73",0.0141080945269718
"74",0.0140142384947194
"75",0.0139178736435464
"76",0.0138395370015223
"77",0.0137795297637492
"78",0.0137377990971055
"79",0.0137105680019628
"80",0.013695600666189
"81",0.013695144564139
"82",0.0137081819849063
"83",0.0137337708876113
"84",0.0137726598853582
"85",0.0138255318352914
"86",0.0138920293858679
"87",0.0139683690346717
"88",0.0140441988693677
"89",0.0141311839262062
"90",0.0142284895142002
"91",0.0143269199308072
"92",0.0144062437854273
"93",0.0144965523278068
"94",0.0145965575568196
"95",0.0147022124967323
"96",0.0148125954247232
"97",0.0149307641483723
"98",0.0150553934560973
"99",0.0151773034647387
"100",0.0152974886204144
"101",0.0154142722759049
"102",0.0155353222880492
"103",0.0156599428160828
"104",0.0157875137174615
"105",0.0159150335306966
"106",0.0160067077165599
"107",0.0161026962815411
"108",0.0162029225487177
"109",0.0163073083823153
"110",0.0164157744320553
"111",0.0165282403692683
"112",0.0166446251137269
"113",0.0167648470503223
"114",0.0168888242348866
"115",0.0170164745886182
"116",0.0171477160807289
"117",0.0172824668990711
"118",0.017420645608636
"119",0.0175621712979317
"120",0.0177069637133558
"121",0.0160553038981667
"122",0.0158223042245782
"123",0.0155951838490227
"124",0.0153731743667653
"125",0.0151478018495003
"126",0.0149308439531531
"127",0.014723703851272
"128",0.0145208176000884
"129",0.0143315842880473
"130",0.0141579922415048
"131",0.0140019385931527
"132",0.0138674421238578
"133",0.0137554512311968
"134",0.013645059041022
"135",0.0135529973645984
"136",0.0134782912941444
"137",0.013420501996298
"138",0.0133779285380588
"139",0.0133499353857023
"140",0.0133360950115507
"141",0.0133357316002508
"142",0.0133482607466694
"143",0.0133731861035904
"144",0.0134100807677758
"145",0.0134610523140097
"146",0.0135261890728229
"147",0.0136040776945443
"148",0.0136957924650367
"149",0.0137894028080492
"150",0.0138940674291692
"151",0.014008765947247
"152",0.0141093310553269
"153",0.0142078478459785
"154",0.0143166112095597
"155",0.0144340865984402
"156",0.0145555683875139
